odsCode,cdbNumber
FEF03,600037040
FEF06,600035185
FEF09,600035187
FEF27,600035192
FEF40,600035193
FEF49,600043773
FEF66,600038814
FEF71,600039028
FEF75,600035200
FEF85,600035202
FEF86,600035203
FEF88,600035204
FEF96,600035206
FEG11,600035209
FEG24,600035213
FEG29,600035215
FEG61,600035218
FEG71,600035220
FEH10,600035229
FEH11,600035230
FEH17,600042568
FEH23,600035234
FEH50,600035237
FEH76,600035241
FEH98,600035244
FEJ12,600035247
FEJ23,600035289
FEJ25,600035250
FEJ28,600043389
FEJ29,600035251
FEJ35,600035253
FEJ48,600035258
FEJ53,600039510
FEJ56,600035260
FEJ64,600037656
FEJ71,600035263
FEJ74,600035264
FEJ76,600035265
FEJ77,600035266
FEJ93,600041603
FEK06,600035271
FEK11,600035273
FEK22,600000818
FEK34,600000700
FEK84,600035283
FEK98,600035285
FEL00,600040341
FEL08,600034083
FEL21,600035290
FEL23,600035291
FEL24,600035292
FEL27,600035293
FEL30,600000576
FEL35,600035295
FEL59,600036427
FEL76,600035300
FEL77,600000688
FEL85,600034578
FEL94,600035303
FEM03,600034566
FEM12,600000750
FEM25,600035310
FEM28,600035312
FEM40,600035316
FEM42,600035317
FEM45,600039525
FEM60,600033224
FEM67,600035261
FEM75,600035322
FEM83,600035323
FEN03,600043844
FEN20,600035332
FEN32,600035334
FEN40,600035336
FEN54,600035338
FEN61,600035339
FEN63,600035340
FEN68,600035342
FEN95,600038065
FEN99,600035348
FEP19,600001018
FEP27,600035147
FEP39,600035353
FEP64,600035356
FEP75,600035357
FEP81,600035359
FEP92,600035362
FEQ03,600042526
FEQ56,600092481
FEQ61,600035369
FEQ63,600043661
FEQ64,600000853
FEQ70,600000429
FEQ73,600043754
FEQ84,600035371
FEQ90,600040422
FEQ98,600035373
FER02,600039553
FER20,600035374
FER21,600035375
FER37,600035379
FER38,600035380
FER40,600035381
FER67,600035385
FER74,600035355
FER87,600035392
FER94,600033704
FET01,600035394
FET15,600039748
FET26,600035400
FET42,600035403
FET52,600035405
FET61,600035406
FET66,600035407
FET87,600035410
FET99,600035413
FEV02,600035414
FEV03,600000704
FEV24,600087411
FEV31,600034347
FEV35,600035423
FEV46,600035425
FEV47,600035426
FEV61,600035428
FEV63,600035429
FEV71,600035430
FEV79,600035432
FEV94,600035437
FEW00,600033528
FEW06,600041297
FEW25,600000682
FEW32,600035438
FEW47,600035440
FEW57,600041763
FEW67,600042859
FEW75,600035444
FEW89,600035926
FEW99,600037056
FEX08,600035449
FEX20,600041757
FEX24,600096111
FEX27,600035452
FEX28,600034333
FEX31,600000646
FEX32,600035453
FEX33,600035454
FEX35,600000940
